source_uri,source_label,selected_uri,selected_label,confidence,method,reason
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-1-0-921,Tire - Remove and install a new item,,,0.0,llm_rejected,"Granularitätsmismatch: Quelle beschreibt 'Tire' (Reifen) als Komponente, alle Kandidaten sind spezifische 'Wheel' (Rad/Laufrad) Modelle. Tire ist TEIL eines Wheels, nicht das Wheel selbst. Die Prozedu"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-2-0-412,Rear wheel - Detected fault,,,0.0,llm_rejected,"Quelle beschreibt eine Fehlererkennungs-Prozedur für das Hinterrad (generisches Konzept), während alle Kandidaten spezifische Rad-Produktmodelle sind (Bontrager Aeolus Pro 3V, etc.). Die Quelle behand"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-2-0-520,Rear wheel - Remove procedures,,,0.85,llm_rejected,"Alle Kandidaten sind spezifische Rad-Modelle (Alexrims, Bontrager, AXIS), während die Quelle eine generische Ausbau-Prozedur für das Hinterrad beschreibt. Die Prozedur behandelt das abstrakte Konzept "
http://my-company.com/s1000d/S1000DBIKE-AAA-DA1-0-0-041,Brake system - Description of how it is made,http://purl.org/ontology/bikeo#Brakes,Brakes,0.92,context_aware_full,Quelle beschreibt 'Brake system' - Kandidat 1 'Brakes' ist die direkte semantische Entsprechung. Beide behandeln die gleiche technische Entität (Bremssystem). S1000D liefert Beschreibung/Dokumentation
http://my-company.com/s1000d/S1000DBIKE-AAA-DA1-0-0-341,Brake system - Manual test,http://purl.org/ontology/bikeo#Brakes,Brakes,0.92,context_aware_full,Quell-Konzept ist 'Brake system - Manual test' - eine Testprozedur für das Bremssystem. Kandidat 0 'Brakes' definiert die Bremskomponenten als 'devices acting on the wheel used to stop or slow down a 
http://my-company.com/s1000d/S1000DBIKE-AAA-DA1-1-0-251,Brake pads - Clean with rubbing alcohol,http://purl.org/ontology/bikeo#Brakes,Brakes,0.85,context_aware_full,"Das Quell-Konzept beschreibt eine Reinigungsprozedur für Bremsbeläge (brake pads). Kandidat 0 'Brakes' ist das passende Ontologie-Konzept, da Bremsbeläge eine Komponente des Bremssystems sind. Die Pro"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-0-0-041,Steering - Description of how it is made,,,0.95,llm_rejected,"Quell-Konzept beschreibt das Steering-System (Handlebar, Headset, Stem). Alle Kandidaten beziehen sich auf Chain/Frame-Komponenten (ChainArea, ChainStay, Frame, ChainRivet, Crank) - völlig verschieden"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-1-0-520,Stem - Remove procedures,,,0.0,llm_rejected,Quell-Konzept 'Stem' (Vorbau - Verbindungsstück zwischen Gabelschaft und Lenker) hat keine semantische Entsprechung in den Kandidaten. Kandidat 0 'ChainRivet' verwendet 'stem' nur als Teil-Beschreibun
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-1-0-720,Stem - Install procedures,,,0.95,llm_rejected,"Stem (Vorbau/Lenkervorbau) ist eine Lenkungskomponente, die den Lenker mit dem Gabelschaft verbindet. Alle Kandidaten sind Wheel (Laufrad) Produkte - völlig verschiedene technische Domänen und Entität"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-2-0-520,Handlebar - Remove procedures,,,0.0,llm_rejected,"Quell-Konzept ist 'Handlebar' (Lenker) - eine Lenkungskomponente. Keiner der Kandidaten behandelt Lenker oder Lenkungssysteme. Alle Kandidaten beziehen sich auf Antriebskomponenten (Crank, Chain) oder"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-2-0-720,Handlebar - Install procedures,,,0.95,llm_rejected,Quell-Konzept ist 'Handlebar - Install procedures' (Lenker-Installationsanleitung). Keiner der Kandidaten behandelt den Lenker (Handlebar). Alle Kandidaten beziehen sich auf die Antriebskette und dere
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-3-0-041,Headset - Description of how it is made,,,0.95,llm_rejected,"Quell-Konzept beschreibt 'Headset' (Steuersatz-Lager am Steuerrohr für Gabel-Drehung). Keiner der Kandidaten behandelt Headset oder Steering-Komponenten. Frame (0) ist zu allgemein (Hauptrahmen), Chai"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-3-0-520,Headset - Remove procedures,,,0.95,llm_rejected,"Keine semantische Übereinstimmung. Quelle behandelt Headset (Steuersatz-Komponente am Gabelschaft), alle Kandidaten beziehen sich auf Chain/Frame-Bereich (ChainArea, ChainStay, Crank, Frame, ChainRive"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA2-3-0-720,Headset - Install procedures,,,0.95,llm_rejected,"Quelle beschreibt Headset-Installationsprozedur (Lenkungslager-Komponente), alle Kandidaten sind Frame-Materialtypen. Headset ≠ Frame - völlig verschiedene Komponenten. Kein semantischer Match trotz '"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA3-0-0-041,Frame - Description of how it is made,,,0.85,llm_rejected,"Quelle beschreibt Frame als generisches Konzept (Skelett des Fahrrads, verschiedene Materialien). Alle Kandidaten sind spezifische Frame-TYPEN/Materialvarianten (All-New, BallisTec Carbon, Aethos FACT"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA3-1-0-411,Horn - Isolated fault,,,0.95,llm_rejected,"Horn ist ein elektrisches/akustisches Signalgerät am Fahrrad. Keiner der Kandidaten (ChainArea, Frame, Brakes, Cogset, Fork) beschreibt ein Horn oder Signalsystem. Alle Kandidaten sind mechanische Str"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA3-1-0-921,Horn - Remove and install a new item,,,0.0,llm_rejected,"Quell-Konzept ist 'Horn' (Fahrradklingel/Hupe) - eine Signalvorrichtung am Lenker. Alle Kandidaten (ChainRivet, ChainArea, Crank, Frame, Cogset) sind Antriebsstrang-Komponenten ohne semantischen Bezug"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA4-0-0-041,Drivetrain - Description of how it is made,,,0.85,llm_rejected,"Quelle beschreibt das gesamte Drivetrain-SYSTEM (Gruppe von Komponenten: chainwheels, chain, pedals, saddle). Alle Kandidaten sind einzelne KOMPONENTEN/TEILE dieses Systems (Crank, Chain, ChainArea, F"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA4-1-0-241,Chain - Oil,,,0.0,llm_rejected,"Quell-Konzept behandelt Schmiermittel/Öl für die Kette (Wartungsprodukt), nicht die Kette selbst oder deren Komponenten. Kandidaten beschreiben physische Fahrradteile (Kurbel, Rahmen, Kettenbereich, K"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA4-1-0-251,Chain - Clean with chain cleaning fluid,,,0.85,llm_rejected,"Quell-Konzept ist eine Reinigungsprozedur für die Kette (Chain). Keiner der Kandidaten repräsentiert die Kette selbst als Hauptkomponente. Kandidat 1 (ChainArea) ist ein struktureller Bereich, der die"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA4-1-0-414,Drive train - Correlated fault,http://purl.org/ontology/bikeo#ChainArea,ChainArea,0.72,context_aware_full,"Drive train ist das Antriebssystem des Fahrrads. ChainArea ist der strukturelle Bereich, der Kette und vorderen Umwerfer umfasst - dies ist die zentrale Komponente des Antriebsstrangs. Während 'Drive "
http://my-company.com/s1000d/S1000DBIKE-AAA-DA5-0-0-041,Gears - Description of how it is made,,,0.0,llm_rejected,"Quelle beschreibt 'Gears' als Gesamtsystem (mechanism, hubs, shifters) mit 27+ Gängen. Alle Kandidaten sind einzelne Komponenten (Crank, ChainArea, ChainStay, Frame, Cogset) die TEILE des Antriebssyst"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA5-1-0-041,Mechs - Description of how it is made,,,0.0,llm_rejected,"Quelle beschreibt Derailleurs (Schaltwerke) - vorderes und hinteres Schaltwerk mit Einstellschrauben. Keiner der Kandidaten repräsentiert Derailleurs: Crank (Kurbel), Frame (Rahmen), ChainArea (Ketten"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA5-2-0-251,Hubs - Clean with degreasing agent,,,0.0,llm_rejected,"Quell-Konzept 'Hubs' (Radnaben) hat keine semantische Entsprechung in den Kandidaten. Kandidat 1 (Cogset) ist zwar am nächsten, da es sich auf die Hinterradnabe bezieht, aber Cogset ist das Ritzelpake"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA5-3-0-041,Shifters - Description of how it is made,,,0.0,llm_rejected,"Quell-Konzept beschreibt 'Shifters' (Schaltungshebel) - eine Komponente zur Gangschaltung. Keiner der Kandidaten behandelt Shifters oder Schaltungskomponenten. Kandidaten sind: Crank (Kurbel), Frame ("
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-029,Wiring data - Field description,,,0.95,llm_rejected,"Quelle beschreibt 'Wiring data - Field description' im Kontext von LIGHTING (Beleuchtungssystem). Alle Kandidaten sind mechanische Fahrradkomponenten (ChainArea, DownTube, ChainRivet, Cogset, Fork) oh"
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-040,Electrical system - Description of how it is made and its function,,,0.95,llm_rejected,"Quelle beschreibt 'Electrical system' (Beleuchtungssystem) des Fahrrads. Alle Kandidaten sind mechanische Komponenten (Frame, ChainRivet, ChainArea, Fork, DownTube) ohne Bezug zu elektrischen/Beleucht"
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-056,Wiring - Equipment lists,,,0.95,llm_rejected,"Quelle beschreibt 'Wiring - Equipment lists' (Verkabelung/Elektrik-Ausrüstungslisten) im Kontext von Beleuchtung (LIGHTING). Alle Kandidaten sind mechanische Fahrradkomponenten (ChainRivet, DownTube, "
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-057,Wiring - Wire list,,,0.95,llm_rejected,"Quelle beschreibt 'Wiring - Wire list' (elektrische Verkabelung/Kabelliste) im Beleuchtungssystem. Alle Kandidaten sind mechanische Fahrradkomponenten (DownTube, ChainRivet, ChainArea, Cogset, Fork) o"
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-058,Wiring - Loom list,,,0.95,llm_rejected,"Quelle beschreibt 'Wiring - Loom list' (Verkabelung/Kabelbaum-Liste) aus dem Beleuchtungssystem. Keiner der Kandidaten behandelt elektrische Komponenten oder Verkabelung: DownTube (Rahmenteil), ChainR"
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-341,Lights - Manual test,,,0.95,llm_rejected,"Quelle beschreibt Licht-Test-Prozedur (Lighting System). Alle Kandidaten sind mechanische Fahrradkomponenten (Chain, Fork, Frame-Teile) ohne Bezug zu Beleuchtung. Keine semantische Übereinstimmung - v"
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-413,Lights - Observed fault,,,0.0,llm_rejected,"Quelle ist 'Lights - Observed fault' (Beleuchtungssystem-Fehlerdiagnose). Keiner der Kandidaten behandelt Beleuchtung: ChainArea/ChainRivet (Antriebsstrang), Frame/Fork (Rahmenkomponenten), BrokenPart"
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-700,"Lighting - Assemble, install and connect procedures",,,0.95,llm_rejected,"Quelle beschreibt Lighting System (Beleuchtung) - Installation und Montage von Lichtern/Glühbirnen. Alle Kandidaten sind Fahrradrahmen-Komponenten (ChainRivet, DownTube, ChainStay, Cogset, ChainArea) "
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-921,Lighting - Remove and install a new item,,,0.95,llm_rejected,"Quell-Konzept beschreibt eine generische Beleuchtungs-Wartungsprozedur (Lighting - Remove and install). Alle Kandidaten sind spezifische Fahrradkomponenten (ChainArea, AllenKey, ChainRivet, DownTube, "
http://my-company.com/s1000d/S1000DLIGHTING-AAA-D00-0-0-941,Light system - Illustrated Parts Data - IPD,,,0.95,llm_rejected,"Quelle beschreibt 'Light system' (Beleuchtungssystem) aus S1000D Dokumentation. Alle Kandidaten sind mechanische Fahrradkomponenten (ChainRivet, DownTube, ChainArea, Frame, Fork) ohne Bezug zu Beleuch"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),,,0.0,llm_rejected,"Quell-Konzept ist eine Sammlung von Wartungsprozeduren für das gesamte Fahrrad (Pads, Levers, Cables, etc.). Alle Kandidaten sind spezifische Komponenten (ChainRivet, Frame, ChainArea, Crank, Brakes),"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),,,0.0,llm_rejected,"Quell-Konzept ist eine Sammlung von Wartungsprozeduren für das gesamte Fahrrad (Pads, Levers, Cables, etc.). Alle Kandidaten sind spezifische Komponenten (ChainRivet, Frame, ChainArea, Crank, Brakes),"
